,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
0,Alabama,US,2020-07-07 04:34:13,32.3182,-86.9023,44932,1007,22082.0,21843.0,1,916.3839422742564,,2914.0,,84000001.0,USA,13536.486997737184,6.4931592316948175,2020-07-06,663719.0,2.241164426244102
1,Alaska,US,2020-07-07 04:34:13,61.3707,-152.4044,1184,16,548.0,620.0,2,161.84923688904988,,,,84000002.0,USA,16916.662679671106,,2020-07-06,123753.0,1.351351351351351
2,American Samoa,US,2020-07-07 04:34:13,-14.271,-170.132,0,0,,,60,0.0,,,,16.0,ASM,1250.8761524774895,,2020-07-06,696.0,
3,Arizona,US,2020-07-07 04:34:13,33.7298,-111.4312,101455,1829,11836.0,87790.0,4,1393.8582857390938,,5188.0,,84000004.0,USA,8488.322873385516,5.113597161303041,2020-07-06,873294.0,1.8027697008525947
4,Arkansas,US,2020-07-07 04:34:13,34.9697,-92.3731,24253,292,17834.0,6127.0,5,803.6638562345335,,1575.0,,84000005.0,USA,11431.093603163095,6.49404197418876,2020-07-06,344968.0,1.2039747660083289
5,California,US,2020-07-07 04:34:13,36.1162,-119.6816,284351,6367,,,6,719.589986116448,,,,84000006.0,USA,12131.3169345091,,2020-07-06,4793353.0,2.233000147717761
6,Colorado,US,2020-07-07 04:34:13,39.0598,-105.3111,39062,1752,4603.0,27963.0,8,594.870124277272,,5565.0,,84000008.0,USA,6175.921243828507,16.252920560747665,2020-07-06,355655.0,4.936217415418747
7,Connecticut,US,2020-07-07 04:34:13,41.5978,-72.7554,46976,4338,8210.0,34428.0,9,1317.593786979842,,10411.0,,84000009.0,USA,14707.483577058452,22.16238079019073,2020-07-06,524364.0,9.23450272479564
8,Delaware,US,2020-07-07 04:34:13,39.3185,-75.5071,12293,572,6778.0,4943.0,10,1262.4208740516185,177990.0,,,84000010.0,USA,1.827855620047568e-06,,2020-07-06,127179.0,4.653054583909542
9,Diamond Princess,US,2020-07-07 04:34:13,,,49,0,,,88888,,,,,84088888.0,USA,,,2020-07-06,,0.0
10,District of Columbia,US,2020-07-07 04:34:13,38.8974,-77.0268,10515,561,1553.0,8401.0,11,1489.9064681636105,,,,84000011.0,USA,15253.298268931305,,2020-07-06,107650.0,5.335235378031384
11,Florida,US,2020-07-07 04:34:13,27.7663,-81.6868,206447,3778,,,12,961.2139304992886,,16352.0,,84000012.0,USA,16572.504822086237,7.920676977626218,2020-07-06,3559399.0,1.8300096392778773
12,Georgia,US,2020-07-07 04:34:13,33.0406,-83.6431,97064,2878,,,13,914.195469088874,,11919.0,,84000013.0,USA,9031.880899913283,12.279526910079948,2020-07-06,958953.0,2.965053984999588
13,Grand Princess,US,2020-07-07 04:34:13,,,103,3,,,99999,,,,,84099999.0,USA,,,2020-07-06,,2.912621359223301
14,Guam,US,2020-07-07 04:34:13,13.4443,144.7937,301,5,179.0,117.0,66,183.2806629766972,,,,316.0,GUM,9467.877171510512,,2020-07-06,15549.0,1.6611295681063123
